Timestamp,Ai navigat pe un magazin online în ultimele două săptămâni?,Adresa magazinului online (ex: google.com),Care a fost intenția ta vizitând acest magazin?,Experiența s-a încheiat cu achiziționarea unui produs?,Ce dispozitiv(e) ai folosit pentru navigare?,Cum ai perceput performanța siteului (viteză de încărcare)?,Cum ai evalua aspectul site-ului?
10/27/2018 18:05:14,Da,EMAG.ro,De cumpărare,Da,"Mobil, Laptop",5,4
10/27/2018 18:05:14,Da,emag.ro,De cumpărare,Da,Mobil,4,4
10/27/2018 18:06:07,Da,Emag.ro,De informare,Nu,"Mobil, Desktop, Laptop",4,4
10/27/2018 18:06:52,Da,www.depurtat.ro,De informare,Nu,Mobil,5,5
10/27/2018 18:07:42,Da,Elefant.ro,De informare,Nu,Mobil,3,3
10/27/2018 18:10:03,Da,emag.ro,De informare,Nu,"Mobil, Laptop",4,4
10/27/2018 18:10:06,Da,bookdepository.com,De cumpărare,Da,Desktop,5,4
10/27/2018 18:10:06,Da,Www.telekom.ro,De cumpărare,Da,"Mobil, Laptop",5,5
10/27/2018 18:10:34,Da,https://carturesti.ro,De informare,Nu,"Mobil, Laptop",4,5
10/27/2018 18:12:06,Da,Bilete.ro,De cumpărare,Da,Desktop,4,4
10/27/2018 18:26:26,Nu,,,,,,
10/27/2018 18:26:50,Da,emag.ro,toate cele de mai sus:)),Da,"Mobil, Desktop, Laptop",4,3
10/27/2018 18:27:07,Da,eMag.ro,De explorare,Nu,Mobil,4,4
10/27/2018 18:27:49,Da,Edigital.ro,De cumpărare,Da,Laptop,5,5
10/27/2018 18:28:47,Da,eMAG,De cumpărare,Da,Mobil,5,5
10/27/2018 18:33:09,Da,Emag.ro,De informare,Nu,Mobil,5,5
10/27/2018 18:34:25,Da,Emag.ro,De explorare,Nu,"Mobil, Laptop",4,2
10/27/2018 18:34:27,Da,ikea.com,De informare,Nu,Mobil,5,4
10/27/2018 18:36:13,Da,answear.com,"Relaxare, terapie, cumparare",Da,"Mobil, Desktop",4,5
10/27/2018 18:40:50,Da,Zara.com,De cumpărare,Da,Mobil,5,5
10/27/2018 18:41:00,Da,oenoartis.ro,De informare,Da,"Mobil, Desktop",5,3
10/27/2018 18:43:43,Da,sportspar.de,De cumpărare,Da,Desktop,4,3
10/27/2018 18:44:09,Nu,,,,,,
10/27/2018 18:45:27,Da,Emag.ro,De informare,Nu,Mobil,4,2
10/27/2018 18:47:06,Da,emag.ro,De informare,Nu,"Mobil, Laptop",5,5
10/27/2018 18:54:04,Da,Mohito.ro,De cumpărare,Da,Laptop,4,3
10/27/2018 18:55:55,Da,redgoblin.ro,De relaxare,Nu,"Mobil, Laptop",5,4
10/27/2018 18:56:22,Da,www.reserved.com,De cumpărare,Nu,Laptop,4,5
10/27/2018 19:02:25,Da,Watchshop,De cumpărare,Da,Mobil,3,3
10/27/2018 19:04:53,Da,elefant.ro,De relaxare,Nu,"Mobil, Laptop",5,4
10/27/2018 19:10:48,Da,emag.ro,De informare,Nu,Mobil,2,3
10/27/2018 19:13:43,Da,emag.ro,De cumpărare,Da,Desktop,4,5
10/27/2018 19:38:24,Da,emag.ro,De explorare,Nu,"Mobil, Tableta, Laptop",5,5
10/27/2018 19:39:07,Da,emag.ro,De informare,Nu,Mobil,5,5
10/27/2018 19:39:32,Da,Emag.com,De cumpărare,Da,"Mobil, Laptop",5,4
10/27/2018 19:40:38,Da,Www.haine.com,De cumpărare,Nu,Mobil,2,3
10/27/2018 19:48:46,Da,eMag.ro,De informare,Nu,"Mobil, Laptop",4,3
10/27/2018 19:52:00,Da,H&M,De informare,Nu,Mobil,4,4
10/27/2018 20:04:24,Da,eMag.com,De informare,Nu,Laptop,4,4
10/27/2018 20:08:20,Da,ryanair.com,De cumpărare,Da,"Mobil, Laptop",5,2
10/27/2018 20:08:52,Da,Emag.ro,De cumpărare,Da,Mobil,5,4
10/27/2018 20:16:16,Da,Emag.ro,De cumpărare,Da,"Mobil, Laptop",3,4
10/27/2018 20:21:27,Da,"elefant.ro, comenzi.farmaciatei.ro",De informare,Nu,Laptop,4,3
10/27/2018 20:22:24,Da,Carrefour.ro,De cumpărare,Da,"Mobil, Laptop",4,4
10/27/2018 20:23:29,Da,cel.ro,De cumpărare,Nu,"Mobil, Laptop",4,3
10/27/2018 20:38:16,Da,emag.ro,De explorare,Nu,"Mobil, Laptop",3,3
10/27/2018 20:39:00,Da,emag.ro ,De cumpărare,Da,"Mobil, Desktop",4,4
10/27/2018 20:50:41,Da,emag.ro,De informare,Nu,"Mobil, Laptop",5,4
10/27/2018 21:27:38,Da,emag.ro,De explorare,Nu,Laptop,4,4
10/27/2018 21:53:46,Da,Altex.ro,De informare,Nu,Laptop,4,3
10/27/2018 22:02:45,Da,emag.ro,De informare,Nu,"Desktop, Laptop",4,4
10/27/2018 22:33:10,Da,Ham ham bebe,De cumpărare,Da,Mobil,4,3
10/27/2018 22:58:50,Da,Elefant.ro,De explorare,Nu,Mobil,4,5
10/27/2018 23:12:29,Da,asos.com,De informare,Nu,"Mobil, Desktop",4,5
10/27/2018 23:14:20,Da,pcgarage.ro,De informare,Nu,Laptop,5,5
10/27/2018 23:27:37,Da,emag.ro,De explorare,Nu,Laptop,4,3
10/27/2018 23:41:12,Da,Emag.ro,De informare,Nu,"Mobil, Desktop",4,3
10/28/2018 1:12:12,Da,emag.ro,De cumpărare,Nu,"Mobil, Laptop",4,4
10/28/2018 1:47:18,Da,Emag.google.com,De cumpărare,Da,Smart tv,5,1
10/28/2018 7:56:47,Da,citygarden.ro,De informare,Nu,Mobil,3,2
10/28/2018 8:54:44,Da,emag.ro,De explorare,Nu,"Mobil, Laptop",4,4
10/28/2018 10:05:41,Da,eMAG.ro,De cumpărare,Da,"Mobil, Desktop",5,5
